employee_id,manager_id,area,job_title,seniority,course,dt_course_conclusion,updated_at,course_format,course_duration_hours,quiz_score
EMP00195,MGR035,Tecnologia,Tech Lead,Júnior,Cultura Data-Driven,2026-05-25,2026-05-23 01:37:57,Platform Course,4,8
EMP00126,MGR011,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-08 16:37:57,Platform Course,4,9
EMP00004,MGR021,Marketing,Analista de Marketing,Sênior,GenAI - Módulo Avançado,2026-05-25,2026-05-14 00:37:57,Platform Course,12,9
EMP00150,MGR059,Tecnologia,Arquiteto de Soluções,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-22 02:37:57,Platform Course,6,8
EMP00268,MGR052,Operações,Coordenador Operacional,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 16:37:57,Platform Course,6,8
EMP00204,MGR058,Tecnologia,Arquiteto de Soluções,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 02:37:57,Platform Course,6,10
EMP00343,MGR027,Dados & Analytics,Cientista de Dados,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-10 10:37:57,Platform Course,6,9
EMP00337,,Operações,Analista de Operações,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-23 11:37:57,Platform Course,6,9
EMP00294,MGR050,Comercial,Gerente Comercial,Pleno,GenAI - Módulo Avançado,2026-05-25,2026-05-11 14:37:57,Platform Course,12,7
EMP00181,MGR015,Tecnologia,Arquiteto de Soluções,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-15 02:37:57,Platform Course,6,8
EMP00254,MGR049,Operações,Analista de Operações,Pleno,GenAI - Módulo Avançado,2026-05-25,2026-05-05 17:37:57,Live Meet,12,7
EMP00194,MGR049,Operações,Coordenador Operacional,Especialista,Cultura Data-Driven,2026-05-25,2026-05-08 12:37:57,Live Meet,4,8
EMP00140,MGR028,Tecnologia,Arquiteto de Soluções,Júnior,Cultura Data-Driven,2026-05-25,2026-05-17 15:37:57,Live Meet,4,9
EMP00222,MGR058,Tecnologia,Engenheiro de Dados,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-24 00:37:57,Platform Course,6,10
EMP00015,MGR021,Dados & Analytics,Cientista de Dados,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-05 14:37:57,Live Meet,6,10
EMP00013,MGR041,Financeiro,Analista Financeiro,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-12 15:37:57,Platform Course,6,10
EMP00343,,Marketing,Especialista em Growth,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-21 15:37:57,Live Meet,6,10
EMP00157,MGR010,People,Coordenador de RH,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-13 09:37:57,Live Meet,6,9
EMP00274,MGR022,Dados & Analytics,Analytics Engineer,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-14 22:37:57,Live Meet,6,8
EMP00070,MGR030,Tecnologia,Engenheiro de Dados,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-13 01:37:57,Live Meet,6,9
EMP00220,MGR051,Comercial,Executivo de Contas,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-11 17:37:57,Platform Course,6,10
EMP00176,MGR033,Tecnologia,Engenheiro de Dados,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-08 22:37:57,Platform Course,6,10
EMP00140,MGR060,Operações,Analista de Operações,Pleno,GenAI - Módulo Avançado,2026-05-25,2026-05-16 00:37:57,Live Meet,12,8
EMP00101,MGR033,Tecnologia,Desenvolvedor Backend,Júnior,Cultura Data-Driven,2026-05-25,2026-05-10 00:37:57,Platform Course,4,10
EMP00119,MGR006,Dados & Analytics,Analytics Engineer,Sênior,Cultura Data-Driven,2026-05-25,2026-05-17 08:37:57,Live Meet,4,10
EMP00248,MGR032,Comercial,Inside Sales,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-08 22:37:57,Live Meet,6,7
EMP00175,MGR026,Comercial,Executivo de Contas,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-07 11:37:57,Platform Course,6,9
EMP00312,,People,Analista de People,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-25 07:37:57,Platform Course,6,10
EMP00343,MGR055,Dados & Analytics,Cientista de Dados,Júnior,Cultura Data-Driven,2026-05-25,2026-05-11 15:37:57,Platform Course,4,9
EMP00196,,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-19 21:37:57,Platform Course,4,10
EMP00193,MGR024,People,Business Partner,Pleno,Cultura Data-Driven,2026-05-25,2026-05-20 09:37:57,Platform Course,4,9
EMP00029,MGR025,Marketing,Especialista em Growth,,Cultura Data-Driven,2026-05-25,2026-05-06 16:37:57,Platform Course,4,10
EMP00332,MGR029,Operações,Coordenador Operacional,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-15 19:37:57,Platform Course,6,9
EMP00295,MGR058,People,Analista de People,Pleno,Cultura Data-Driven,2026-05-25,2026-05-11 10:37:57,Platform Course,4,8
EMP00255,MGR047,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-12 05:37:57,Live Meet,4,10
EMP00190,MGR058,Comercial,Executivo de Contas,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-21 16:37:57,Live Meet,12,9
EMP00298,MGR058,Operações,Analista de Operações,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-06 17:37:57,Live Meet,6,8
EMP00146,MGR011,Comercial,Gerente Comercial,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-23 18:37:57,Platform Course,6,7
EMP00024,MGR018,Comercial,Inside Sales,Júnior,Cultura Data-Driven,2026-05-25,2026-05-20 20:37:57,Live Meet,4,9
EMP00256,MGR056,Tecnologia,Arquiteto de Soluções,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-19 17:37:57,Platform Course,6,9
EMP00286,MGR018,Tecnologia,Desenvolvedor Backend,Pleno,Cultura Data-Driven,2026-05-25,2026-05-06 09:37:57,Platform Course,4,9
EMP00230,MGR008,Operações,Analista de Operações,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-13 13:37:57,Platform Course,6,9
EMP00253,MGR009,Operações,Analista de Operações,Sênior,Cultura Data-Driven,2026-05-25,2026-05-14 22:37:57,Platform Course,4,8
EMP00038,MGR026,Marketing,Especialista em Growth,Especialista,GenAI - Módulo Avançado,2026-05-25,2026-05-18 20:37:57,Live Meet,12,9
EMP00224,MGR045,Tecnologia,Tech Lead,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-24 19:37:57,Platform Course,6,9
EMP00109,MGR033,Marketing,Especialista em Growth,Júnior,Cultura Data-Driven,2026-05-25,2026-05-05 16:37:57,Live Meet,4,10
EMP00262,MGR043,Dados & Analytics,Cientista de Dados,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-12 19:37:57,Platform Course,6,9
EMP00147,MGR009,Comercial,Gerente Comercial,Júnior,Cultura Data-Driven,2026-05-25,2026-05-11 01:37:57,Platform Course,4,8
EMP00283,MGR040,Dados & Analytics,Analista de BI,Sênior,Cultura Data-Driven,2026-05-25,2026-05-11 15:37:57,Live Meet,4,10
EMP00055,MGR033,Comercial,Executivo de Contas,Pleno,Cultura Data-Driven,2026-05-25,2026-05-14 01:37:57,Platform Course,4,9
EMP00093,MGR027,Operações,Analista de Operações,Júnior,Cultura Data-Driven,2026-05-25,2026-05-19 14:37:57,Platform Course,4,9
EMP00170,MGR003,Marketing,Especialista em Growth,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-21 00:37:57,Live Meet,12,9
EMP00029,MGR010,Tecnologia,Engenheiro de Dados,Pleno,GenAI - Módulo Avançado,2026-05-25,2026-05-14 01:37:57,Platform Course,12,9
EMP00106,MGR053,Comercial,Executivo de Contas,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-14 12:37:57,Live Meet,6,9
EMP00005,MGR019,Tecnologia,Tech Lead,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-23 05:37:57,Live Meet,6,10
EMP00282,MGR005,Operações,Analista de Operações,Júnior,Cultura Data-Driven,2026-05-25,2026-05-25 01:37:57,Live Meet,4,9
EMP00329,MGR056,Marketing,Analista de Marketing,Júnior,Cultura Data-Driven,2026-05-25,2026-05-25 07:37:57,Live Meet,4,9
EMP00067,MGR055,Marketing,Analista de Marketing,Especialista,GenAI para todos - Módulo básico,2026-05-25,2026-05-14 06:37:57,Live Meet,6,9
EMP00260,MGR049,Marketing,Especialista em Growth,Pleno,Cultura Data-Driven,2026-05-25,2026-05-25 15:37:57,Platform Course,4,9
EMP00228,MGR056,Operações,Analista de Operações,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-06 16:37:57,Live Meet,6,9
EMP00348,MGR005,Dados & Analytics,Analista de BI,Especialista,GenAI para todos - Módulo básico,2026-05-25,2026-05-13 06:37:57,Live Meet,6,9
EMP00284,MGR035,Tecnologia,Desenvolvedor Backend,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 06:37:57,Platform Course,6,10
EMP00083,MGR050,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-05 05:37:57,Live Meet,4,8
EMP00139,MGR008,Comercial,Executivo de Contas,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-06 23:37:57,Live Meet,12,9
EMP00048,MGR040,Comercial,Gerente Comercial,Sênior,Cultura Data-Driven,2026-05-25,2026-05-17 13:37:57,Live Meet,4,9
EMP00169,MGR019,Operações,Coordenador Operacional,Pleno,Cultura Data-Driven,2026-05-25,2026-05-08 23:37:57,Platform Course,4,8
EMP00052,MGR060,Comercial,Gerente Comercial,Júnior,Cultura Data-Driven,2026-05-25,2026-05-22 07:37:57,Live Meet,4,8
EMP00093,MGR053,People,Business Partner,,GenAI - Módulo Avançado,2026-05-25,2026-05-14 05:37:57,Platform Course,12,9
EMP00067,MGR052,Comercial,Executivo de Contas,Pleno,Cultura Data-Driven,2026-05-25,2026-05-25 13:37:57,Platform Course,4,9
EMP00034,MGR056,Tecnologia,Engenheiro de Dados,Júnior,Cultura Data-Driven,2026-05-25,2026-05-13 17:37:57,Platform Course,4,7
EMP00346,MGR035,Tecnologia,Desenvolvedor Backend,Pleno,Cultura Data-Driven,2026-05-25,2026-05-24 06:37:57,Platform Course,4,9
EMP00341,MGR010,Marketing,Analista de Marketing,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 02:37:57,Platform Course,6,9
EMP00217,MGR005,Comercial,Executivo de Contas,Especialista,Cultura Data-Driven,2026-05-25,2026-05-11 01:37:57,Platform Course,4,9
EMP00297,MGR013,Tecnologia,Arquiteto de Soluções,Júnior,Cultura Data-Driven,2026-05-25,2026-05-23 12:37:57,Platform Course,4,10
EMP00039,MGR054,Operações,Analista de Operações,Sênior,Cultura Data-Driven,2026-05-25,2026-05-08 15:37:57,Platform Course,4,9
EMP00016,MGR014,Tecnologia,Engenheiro de Dados,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 04:37:57,Platform Course,6,9
EMP00242,MGR040,Tecnologia,Arquiteto de Soluções,Pleno,Cultura Data-Driven,2026-05-25,2026-05-24 13:37:57,Live Meet,4,8
EMP00349,MGR007,Comercial,Executivo de Contas,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-12 05:37:57,Platform Course,6,9
EMP00339,MGR038,Tecnologia,Tech Lead,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-21 04:37:57,Live Meet,6,9
EMP00274,MGR034,Comercial,Inside Sales,Pleno,Cultura Data-Driven,2026-05-25,2026-05-12 21:37:57,Platform Course,4,9
EMP00310,MGR046,Marketing,Especialista em Growth,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-25 08:37:57,Live Meet,12,9
EMP00336,MGR016,Operações,Coordenador Operacional,,GenAI para todos - Módulo básico,2026-05-25,2026-05-22 12:37:57,Live Meet,6,8
EMP00146,MGR054,Tecnologia,Tech Lead,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-14 06:37:57,Platform Course,6,10
EMP00191,MGR049,Tecnologia,Arquiteto de Soluções,Júnior,Cultura Data-Driven,2026-05-25,2026-05-22 11:37:57,Platform Course,4,7
EMP00119,MGR037,Operações,Coordenador Operacional,Sênior,GenAI - Módulo Avançado,2026-05-25,2026-05-07 00:37:57,Live Meet,12,8
EMP00119,MGR057,Financeiro,Controller,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-10 10:37:57,Platform Course,6,8
EMP00137,MGR022,Comercial,Inside Sales,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-12 06:37:57,Live Meet,6,10
EMP00265,MGR046,Comercial,Executivo de Contas,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-24 04:37:57,Live Meet,6,8
EMP00205,MGR048,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-05 21:37:57,Platform Course,4,9
EMP00249,MGR033,Dados & Analytics,Analytics Engineer,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-05 21:37:57,Platform Course,6,9
EMP00225,MGR015,Tecnologia,Engenheiro de Dados,Júnior,Cultura Data-Driven,2026-05-25,2026-05-09 06:37:57,Live Meet,4,8
EMP00327,MGR028,Comercial,Gerente Comercial,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 01:37:57,Live Meet,6,10
EMP00020,MGR046,Dados & Analytics,Cientista de Dados,Especialista,Cultura Data-Driven,2026-05-25,2026-05-25 23:37:57,Platform Course,4,7
EMP00345,,Comercial,Inside Sales,Sênior,GenAI - Módulo Avançado,2026-05-25,2026-05-08 04:37:57,Platform Course,12,10
EMP00120,MGR003,Comercial,Executivo de Contas,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-15 05:37:57,Platform Course,6,8
EMP00328,MGR054,Tecnologia,Engenheiro de Dados,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-10 13:37:57,Live Meet,6,9
EMP00160,MGR044,Comercial,Executivo de Contas,Pleno,Cultura Data-Driven,2026-05-25,2026-05-14 09:37:57,Platform Course,4,8
EMP00006,MGR039,Comercial,Gerente Comercial,Sênior,Cultura Data-Driven,2026-05-25,2026-05-21 10:37:57,Live Meet,4,8
EMP00179,MGR015,Operações,Coordenador Operacional,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-19 21:37:57,Platform Course,6,7
EMP00261,MGR025,Dados & Analytics,Analista de BI,Pleno,Cultura Data-Driven,2026-05-25,2026-05-23 15:37:57,Live Meet,4,8
EMP00043,MGR056,Tecnologia,Engenheiro de Dados,Júnior,Cultura Data-Driven,2026-05-25,2026-05-20 20:37:57,Live Meet,4,9
EMP00021,MGR027,Comercial,Executivo de Contas,Pleno,GenAI - Módulo Avançado,2026-05-25,2026-05-12 12:37:57,Live Meet,12,8
EMP00171,MGR024,Tecnologia,Tech Lead,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-13 03:37:57,Live Meet,6,10
EMP00257,MGR021,Tecnologia,Engenheiro de Dados,Pleno,Cultura Data-Driven,2026-05-25,2026-05-11 14:37:57,Platform Course,4,9
EMP00164,MGR039,People,Analista de People,Sênior,Cultura Data-Driven,2026-05-25,2026-05-16 22:37:57,Platform Course,4,9
EMP00080,MGR014,Comercial,Gerente Comercial,Pleno,GenAI - Módulo Avançado,2026-05-25,2026-05-06 11:37:57,Live Meet,12,9
EMP00101,MGR030,Tecnologia,Arquiteto de Soluções,Pleno,Cultura Data-Driven,2026-05-25,2026-05-16 21:37:57,Platform Course,4,9
EMP00151,MGR006,Dados & Analytics,Analytics Engineer,Pleno,Cultura Data-Driven,2026-05-25,2026-05-17 13:37:57,Live Meet,4,9
EMP00196,MGR037,Comercial,Inside Sales,Pleno,Cultura Data-Driven,2026-05-25,2026-05-06 16:37:57,Platform Course,4,8
EMP00214,MGR051,Operações,Coordenador Operacional,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-20 04:37:57,Live Meet,6,9
EMP00267,MGR016,Operações,Coordenador Operacional,Júnior,Cultura Data-Driven,2026-05-25,2026-05-16 21:37:57,Live Meet,4,9
EMP00189,MGR030,People,Coordenador de RH,Especialista,GenAI para todos - Módulo básico,2026-05-25,2026-05-09 00:37:57,Live Meet,6,9
EMP00072,MGR052,Operações,Coordenador Operacional,Júnior,Cultura Data-Driven,2026-05-25,2026-05-07 22:37:57,Platform Course,4,10
EMP00101,MGR019,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-18 07:37:57,Platform Course,4,9
EMP00230,,Operações,Analista de Operações,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-19 07:37:57,Platform Course,12,9
EMP00021,MGR007,Tecnologia,Desenvolvedor Backend,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-20 16:37:57,Platform Course,6,8
EMP00089,MGR007,Tecnologia,Engenheiro de Dados,Júnior,Cultura Data-Driven,2026-05-25,2026-05-11 13:37:57,Platform Course,4,9
EMP00345,MGR020,Operações,Analista de Operações,Júnior,Cultura Data-Driven,2026-05-25,2026-05-21 19:37:57,Platform Course,4,9
EMP00316,MGR032,Comercial,Gerente Comercial,Júnior,Cultura Data-Driven,2026-05-25,2026-05-14 02:37:57,Live Meet,4,9
EMP00099,MGR015,Comercial,Gerente Comercial,Pleno,Cultura Data-Driven,2026-05-25,2026-05-07 22:37:57,Live Meet,4,9
EMP00102,MGR011,Dados & Analytics,Analytics Engineer,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-07 04:37:57,Platform Course,6,7
EMP00322,MGR012,Tecnologia,Engenheiro de Dados,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-22 17:37:57,Live Meet,6,9
EMP00283,MGR041,Comercial,Executivo de Contas,Sênior,GenAI - Módulo Avançado,2026-05-25,2026-05-13 19:37:57,Live Meet,12,8
EMP00129,MGR036,Dados & Analytics,Cientista de Dados,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-23 18:37:57,Platform Course,6,7
EMP00339,MGR046,Tecnologia,Engenheiro de Dados,Especialista,GenAI para todos - Módulo básico,2026-05-25,2026-05-20 02:37:57,Platform Course,6,7
EMP00166,MGR033,Comercial,Executivo de Contas,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-20 12:37:57,Live Meet,6,8
EMP00073,MGR017,Comercial,Gerente Comercial,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-06 02:37:57,Platform Course,6,7
EMP00254,MGR031,Tecnologia,Tech Lead,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 23:37:57,Platform Course,6,8
EMP00294,MGR034,Comercial,Executivo de Contas,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-17 18:37:57,Platform Course,12,9
EMP00199,MGR010,Tecnologia,Desenvolvedor Backend,Pleno,Cultura Data-Driven,2026-05-25,2026-05-11 12:37:57,Platform Course,4,7
EMP00346,MGR036,Tecnologia,Desenvolvedor Backend,Pleno,Cultura Data-Driven,2026-05-25,2026-05-11 22:37:57,Platform Course,4,10
EMP00188,MGR054,Dados & Analytics,Cientista de Dados,Pleno,Cultura Data-Driven,2026-05-25,2026-05-17 08:37:57,Platform Course,4,10
EMP00116,MGR044,Operações,Analista de Operações,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-18 11:37:57,Live Meet,6,8
EMP00002,MGR042,Tecnologia,Arquiteto de Soluções,Pleno,Cultura Data-Driven,2026-05-25,2026-05-06 16:37:57,Platform Course,4,9
EMP00069,MGR052,Comercial,Gerente Comercial,Especialista,Cultura Data-Driven,2026-05-25,2026-05-25 18:37:57,Platform Course,4,7
EMP00272,MGR009,Tecnologia,Desenvolvedor Backend,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-20 19:37:57,Live Meet,6,9
EMP00289,MGR027,Operações,Coordenador Operacional,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-24 14:37:57,Platform Course,6,8
EMP00119,MGR048,Financeiro,Controller,Pleno,Cultura Data-Driven,2026-05-25,2026-05-22 00:37:57,Platform Course,4,9
EMP00214,MGR018,Jurídico,Analista Jurídico,Júnior,Cultura Data-Driven,2026-05-25,2026-05-14 21:37:57,Platform Course,4,7
EMP00238,MGR050,Operações,Coordenador Operacional,Pleno,Cultura Data-Driven,2026-05-25,2026-05-18 22:37:57,Platform Course,4,9
EMP00192,MGR055,Tecnologia,Desenvolvedor Backend,Pleno,Cultura Data-Driven,2026-05-25,2026-05-06 07:37:57,Platform Course,4,9
EMP00262,MGR035,Financeiro,Controller,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-24 00:37:57,Platform Course,6,10
EMP00201,MGR052,Operações,Analista de Operações,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-19 16:37:57,Platform Course,6,8
EMP00321,MGR056,Operações,Coordenador Operacional,Júnior,Cultura Data-Driven,2026-05-25,2026-05-09 20:37:57,Platform Course,4,8
EMP00065,MGR016,Tecnologia,Desenvolvedor Backend,Pleno,Cultura Data-Driven,2026-05-25,2026-05-13 16:37:57,Platform Course,4,9
EMP00316,MGR029,Tecnologia,Engenheiro de Dados,Pleno,Cultura Data-Driven,2026-05-25,2026-05-14 23:37:57,Live Meet,4,10
EMP00332,MGR040,Dados & Analytics,Cientista de Dados,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-08 01:37:57,Platform Course,6,9
EMP00326,MGR013,Financeiro,Controller,Sênior,Cultura Data-Driven,2026-05-25,2026-05-22 21:37:57,Platform Course,4,9
EMP00302,MGR022,Operações,Coordenador Operacional,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-16 20:37:57,Platform Course,6,8
EMP00249,MGR024,Marketing,Analista de Marketing,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-17 06:37:57,Platform Course,6,8
EMP00328,MGR028,Tecnologia,Engenheiro de Dados,Pleno,Cultura Data-Driven,2026-05-25,2026-05-21 22:37:57,Platform Course,4,10
EMP00169,MGR002,Operações,Analista de Operações,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-19 20:37:57,Platform Course,6,9
EMP00223,MGR009,Operações,Coordenador Operacional,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-17 19:37:57,Platform Course,6,9
EMP00311,MGR058,Comercial,Executivo de Contas,Júnior,Cultura Data-Driven,2026-05-25,2026-05-05 08:37:57,Live Meet,4,7
EMP00173,MGR014,Financeiro,Controller,Pleno,Cultura Data-Driven,2026-05-25,2026-05-10 16:37:57,Platform Course,4,8
EMP00195,MGR045,Comercial,Executivo de Contas,Especialista,Cultura Data-Driven,2026-05-25,2026-05-16 06:37:57,Live Meet,4,8
EMP00299,MGR038,People,Coordenador de RH,Pleno,Cultura Data-Driven,2026-05-25,2026-05-14 09:37:57,Platform Course,4,9
EMP00057,MGR002,Tecnologia,Arquiteto de Soluções,Sênior,GenAI para todos - Módulo básico,2026-05-25,2026-05-11 04:37:57,Platform Course,6,10
EMP00049,MGR009,Tecnologia,Tech Lead,Sênior,Cultura Data-Driven,2026-05-25,2026-05-23 21:37:57,Platform Course,4,9
EMP00012,MGR003,Operações,Analista de Operações,Sênior,Cultura Data-Driven,2026-05-25,2026-05-18 12:37:57,Platform Course,4,9
EMP00255,MGR048,Operações,Coordenador Operacional,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-20 03:37:57,Platform Course,6,8
EMP00237,MGR005,Operações,Coordenador Operacional,Pleno,Cultura Data-Driven,2026-05-25,2026-05-12 23:37:57,Platform Course,4,7
EMP00274,MGR015,People,Coordenador de RH,Pleno,Cultura Data-Driven,2026-05-25,2026-05-11 08:37:57,Live Meet,4,9
EMP00157,MGR007,Tecnologia,Desenvolvedor Backend,Júnior,Cultura Data-Driven,2026-05-25,2026-05-17 07:37:57,Platform Course,4,9
EMP00123,MGR033,Tecnologia,Tech Lead,Pleno,Cultura Data-Driven,2026-05-25,2026-05-14 23:37:57,Platform Course,4,10
EMP00344,MGR045,Tecnologia,Arquiteto de Soluções,Júnior,GenAI para todos - Módulo básico,2026-05-25,2026-05-18 00:37:57,Live Meet,6,7
EMP00285,MGR028,Tecnologia,Arquiteto de Soluções,,GenAI - Módulo Avançado,2026-05-25,2026-05-06 20:37:57,Live Meet,12,7
EMP00243,MGR026,Tecnologia,Desenvolvedor Backend,Sênior,Cultura Data-Driven,2026-05-25,2026-05-22 23:37:57,Platform Course,4,9
EMP00340,MGR014,Operações,Coordenador Operacional,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-25 09:37:57,Live Meet,6,9
EMP00319,MGR056,Dados & Analytics,Analytics Engineer,Júnior,GenAI - Módulo Avançado,2026-05-25,2026-05-07 21:37:57,Platform Course,12,10
EMP00047,MGR018,Operações,Analista de Operações,Júnior,Cultura Data-Driven,2026-05-25,2026-05-12 02:37:57,Platform Course,4,8
EMP00063,MGR009,Tecnologia,Arquiteto de Soluções,Pleno,GenAI para todos - Módulo básico,2026-05-25,2026-05-11 16:37:57,Live Meet,6,10
EMP00316,MGR020,Operações,Coordenador Operacional,Sênior,GenAI - Módulo Avançado,2026-05-25,2026-05-08 07:37:57,Platform Course,12,10
